left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
965900,1943000,966000,1943100,100,8.9709,32.4974,13.10915194,965950,1943050,127.1148481,37.48606513
939800,1943700,939900,1943800,100,59.9112,14.3117,7.48708883,939850,1943750,126.8195792,37.49104305
939800,1943000,939900,1943100,100,4.1562,34.2162,7.48708883,939850,1943050,126.8196364,37.48473391
939800,1943100,939900,1943200,100,24.6476,26.9008,7.48708883,939850,1943150,126.8196282,37.48563522
965900,1948400,966000,1948500,100,64.1735,12.7901,13.10915194,965950,1948450,127.1145979,37.53473774
965900,1948500,966000,1948600,100,100,0,13.10915194,965950,1948550,127.1145933,37.53563908
965900,1948600,966000,1948700,100,44.1178,19.9499,13.10915194,965950,1948650,127.1145886,37.53654042
939700,1952600,939800,1952700,100,27.5044,25.8809,9.44056836,939750,1952650,126.8177177,37.57125204
965900,1947600,966000,1947700,100,38.483,21.9616,13.10915194,965950,1947650,127.114635,37.527527
965900,1947700,966000,1947800,100,38.7964,21.8497,13.10915194,965950,1947750,127.1146304,37.52842835
939700,1953100,939800,1953200,100,38.634,21.9077,9.44056836,939750,1953150,126.8176766,37.57575849
965900,1948200,966000,1948300,100,80.0886,7.1084,13.10915194,965950,1948250,127.1146072,37.53293505
965900,1948300,966000,1948400,100,49.9494,17.8681,13.10915194,965950,1948350,127.1146025,37.5338364
939800,1951200,939900,1951300,100,41.8196,20.7704,9.44056836,939850,1951250,126.8189649,37.55864048
965900,1945600,966000,1945700,100,24.374,26.9985,13.10915194,965950,1945650,127.1147277,37.50950014
939800,1951300,939900,1951400,100,2.6749,34.7451,9.44056836,939850,1951350,126.8189567,37.55954177
965900,1945700,966000,1945800,100,78.9516,7.5143,13.10915194,965950,1945750,127.1147231,37.51040148
939800,1951400,939900,1951500,100,21.0445,28.1871,9.44056836,939850,1951450,126.8189485,37.56044306
965900,1946300,966000,1946400,100,55.8543,15.76,13.10915194,965950,1946350,127.1146953,37.51580955
965900,1947500,966000,1947600,100,47.8573,18.6149,13.10915194,965950,1947550,127.1146396,37.52662566
939800,1950900,939900,1951000,100,49.3728,18.0739,9.44056836,939850,1950950,126.8189896,37.55593659
966000,1942600,966100,1942700,100,1.3767,35.2085,13.10915194,966050,1942650,127.1159976,37.48246341
966000,1942700,966100,1942800,100,18.8671,28.9644,13.10915194,966050,1942750,127.115993,37.48336476
939800,1952400,939900,1952500,100,78.2795,7.7542,9.44056836,939850,1952450,126.8188665,37.56945599
939800,1952500,939900,1952600,100,58.3354,14.8743,9.44056836,939850,1952550,126.8188583,37.57035729
939800,1952000,939900,1952100,100,8.738,32.5805,9.44056836,939850,1952050,126.8188993,37.56585082
939800,1952100,939900,1952200,100,2.3915,34.8462,9.44056836,939850,1952150,126.8188911,37.56675212
939800,1952200,939900,1952300,100,78.9133,7.528,9.44056836,939850,1952250,126.8188829,37.56765341
939800,1952300,939900,1952400,100,20.9233,28.2304,9.44056836,939850,1952350,126.8188747,37.5685547
939800,1951500,939900,1951600,100,10.5194,31.9446,9.44056836,939850,1951550,126.8189403,37.56134436
965800,1940200,965900,1940300,100,41.1993,20.9918,20.1,965850,1940250,127.1138468,37.46082363
939800,1951600,939900,1951700,100,10.6589,31.8948,9.44056836,939850,1951650,126.8189321,37.56224565
965700,1959700,965800,1959800,100,17.9178,29.3033,7.17825017,965750,1959750,127.1118056,37.63658094
939800,1951700,939900,1951800,100,55.7614,15.7932,9.44056836,939850,1951750,126.8189239,37.56314694
965700,1960100,965800,1960200,100,2.9203,34.6575,7.17825017,965750,1960150,127.1117869,37.64018624
965700,1960200,965800,1960300,100,39.7356,21.5144,7.17825017,965750,1960250,127.1117822,37.64108756
939900,1943800,940000,1943900,100,66.6514,11.9055,7.48708883,939950,1943850,126.8207021,37.49195086
939900,1944400,940000,1944500,100,5.778,33.6373,7.48708883,939950,1944450,126.8206532,37.49735868
